2024-06-18 15:57:33 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:38 - Node ID: 44987, Temperature: 33, Humidity: 50, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:43 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:48 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:53 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:57:58 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:03 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:08 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:13 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:18 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:23 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:28 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:33 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:38 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:43 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:48 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:53 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:58:58 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:04 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:09 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:14 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:20 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:24 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:29 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:34 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:39 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:44 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:49 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:54 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:55 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 15:59:59 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:00 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:04 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:09 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
